Ch01|Pairs|259.369796|Ch01
Ch02|Heedfulness|141.635918|Ch02
Ch03|The Mind|126.667755|Ch03
Ch04|Blossoms|186.488163|Ch04
Ch05|Fools|183.562449|Ch05
Ch06|The Wise|177.893878|Ch06
Ch07|Arahants|122.253061|Ch07
Ch08|Thousands|183.666939|Ch08
Ch09|Evil|170.710204|Ch09
Ch10|The Rod|180.636735|Ch10
Ch11|Aging|117.838367|Ch11
Ch12|Self|123.402449|Ch12
Ch13|Worlds|125.492245|Ch13
Ch14|Awakened|220.708571|Ch14
Ch15|Happy|144.718367|Ch15
Ch16|Dear Ones|139.676735|Ch16
Ch17|Anger|164.466939|Ch17
Ch18|1mpurities|236.016327|Ch18
Ch19|The Judge|191.817143|Ch19
Ch20|The Path|209.763265|Ch20
Ch21|Miscellany|181.524898|Ch21
Ch22|Hell|156.26449|Ch22
Ch23|Elephants|181.603265|Ch23
Ch24|Craving|338.573061|Ch24
Ch25|Monks|270.550204|Ch25
Ch26|Brahmans|499.30449|Ch26
